id,energy,na,na,lifetime,na,na,na,na
368,3.36E+03,53,26,-1.00E+00,2,f,1,a3Piu
369,3.45E+03,53,26,-1.00E+00,3,f,1,a3Piu
370,3.36E+03,55,27,-1.00E+00,1,e,1,a3Piu
371,3.44E+03,55,27,-1.00E+00,2,e,1,a3Piu
372,3.53E+03,55,27,-1.00E+00,3,e,1,a3Piu
373,3.44E+03,57,28,-1.00E+00,1,f,1,a3Piu
374,3.53E+03,57,28,-1.00E+00,2,f,1,a3Piu
375,3.63E+03,57,28,-1.00E+00,3,f,1,a3Piu
376,3.53E+03,59,29,-1.00E+00,1,e,1,a3Piu
377,3.62E+03,59,29,-1.00E+00,2,e,1,a3Piu
378,3.72E+03,59,29,-1.00E+00,3,e,1,a3Piu
379,3.62E+03,61,30,-1.00E+00,1,f,1,a3Piu
380,3.72E+03,61,30,-1.00E+00,2,f,1,a3Piu
381,3.82E+03,61,30,-1.00E+00,3,f,1,a3Piu
382,3.72E+03,63,31,-1.00E+00,1,e,1,a3Piu
383,3.82E+03,63,31,-1.00E+00,2,e,1,a3Piu
384,3.92E+03,63,31,-1.00E+00,3,e,1,a3Piu
385,3.82E+03,65,32,-1.00E+00,1,f,1,a3Piu
386,3.92E+03,65,32,-1.00E+00,2,f,1,a3Piu
387,4.03E+03,65,32,-1.00E+00,3,f,1,a3Piu
388,3.92E+03,67,33,-1.00E+00,1,e,1,a3Piu
389,4.03E+03,67,33,-1.00E+00,2,e,1,a3Piu
390,4.14E+03,67,33,-1.00E+00,3,e,1,a3Piu
391,4.03E+03,69,34,-1.00E+00,1,f,1,a3Piu
392,4.14E+03,69,34,-1.00E+00,2,f,1,a3Piu
393,4.25E+03,69,34,-1.00E+00,3,f,1,a3Piu
394,4.13E+03,71,35,-1.00E+00,1,e,1,a3Piu
395,4.25E+03,71,35,-1.00E+00,2,e,1,a3Piu
396,4.36E+03,71,35,-1.00E+00,3,e,1,a3Piu
397,4.25E+03,73,36,-1.00E+00,1,f,1,a3Piu
398,4.36E+03,73,36,-1.00E+00,2,f,1,a3Piu
399,4.48E+03,73,36,-1.00E+00,3,f,1,a3Piu
400,4.36E+03,75,37,-1.00E+00,1,e,1,a3Piu
401,4.48E+03,75,37,-1.00E+00,2,e,1,a3Piu
402,4.60E+03,75,37,-1.00E+00,3,e,1,a3Piu
403,4.48E+03,77,38,-1.00E+00,1,f,1,a3Piu
404,4.60E+03,77,38,-1.00E+00,2,f,1,a3Piu
405,4.72E+03,77,38,-1.00E+00,3,f,1,a3Piu
406,4.60E+03,79,39,-1.00E+00,1,e,1,a3Piu
407,4.72E+03,79,39,-1.00E+00,2,e,1,a3Piu
408,4.85E+03,79,39,-1.00E+00,3,e,1,a3Piu
409,4.72E+03,81,40,-1.00E+00,1,f,1,a3Piu
410,4.85E+03,81,40,-1.00E+00,2,f,1,a3Piu
411,4.98E+03,81,40,-1.00E+00,3,f,1,a3Piu
412,4.85E+03,83,41,-1.00E+00,1,e,1,a3Piu
413,4.98E+03,83,41,-1.00E+00,2,e,1,a3Piu
414,5.12E+03,83,41,-1.00E+00,3,e,1,a3Piu
415,4.98E+03,85,42,-1.00E+00,1,f,1,a3Piu
416,5.11E+03,85,42,-1.00E+00,2,f,1,a3Piu
417,5.25E+03,85,42,-1.00E+00,3,f,1,a3Piu
418,5.11E+03,87,43,-1.00E+00,1,e,1,a3Piu
419,5.25E+03,87,43,-1.00E+00,2,e,1,a3Piu
420,5.39E+03,87,43,-1.00E+00,3,e,1,a3Piu
